step,BigLeduc/tau,BigLeduc/alpha,BigLeduc/beta,BigLeduc/gamma,BigLeduc/conv,BigLeduc/iters
60,1,1.0334050580391172,-1.021952992144678,4.996492080019097,0.059782374650239944,60
61,1,1.0325488173850452,-1.02552139060403,4.9964843142318704,0.06370189599692822,61
62,1,1.0382238651247442,-1.0262084344511548,4.996417047217502,0.05961393192410469,62
63,1,1.038559073018547,-1.0292677688344356,4.99639799978762,0.05588662810623646,63
64,1,1.0389648066346635,-1.0323085704824075,4.996378070246374,0.060032568871974945,64
65,1,1.0449941828706433,-1.032847137609617,4.996305590506761,0.05529610998928547,65
66,1,1.0446734044520147,-1.0362289029840017,4.996291876724333,0.05336394160985947,66
67,1,1.0462804125256406,-1.0387587245676453,4.996259795246836,0.047904111444950104,67
68,1,1.044886469742364,-1.0426530139600863,4.996255731718577,0.04304893873631954,68
69,1,1.0435310591072953,-1.0465506271593707,4.996251050566199,0.04226450435817242,69
70,1,1.0458475416516784,-1.0487926308022324,4.99621155481975,0.04039805009961128,70
71,1,1.0470522190324707,-1.051550342333054,4.9961821975536225,0.038538217544555664,71
72,1,1.0481749760172434,-1.05435609888672,4.996153305005532,0.035188473761081696,72
73,1,1.0474699898945175,-1.0580154342695405,4.996141590235016,0.03583195433020592,73
74,1,1.0513160481540098,-1.0595859155206344,4.99608592838349,0.03360889758914709,74
