step,LeducPoker/conv,LeducPoker/iters,LeducPoker/nodes_touched
155,0.0632503337811911,155,2931670
156,0.06309850983178064,156,2950584
157,0.06251153451135644,157,2969498
158,0.061962708546161954,158,2988412
159,0.061399083642038554,159,3007326
160,0.06077887430723326,160,3026240
161,0.06065794694311408,161,3045154
162,0.06046626579532155,162,3064068
163,0.05997618784620343,163,3082982
164,0.05926502918141768,164,3101896
165,0.058451160417164985,165,3120810
166,0.05762716316352212,166,3139724
167,0.05701042336910497,167,3158638
168,0.05663439299796838,168,3177552
169,0.05649070939450007,169,3196466
170,0.05647184783158965,170,3215380
171,0.05653422717352097,171,3234294
172,0.056829514750910776,172,3253208
173,0.05768587406839436,173,3272122
174,0.059379404814304676,174,3291036
175,0.060798835393488015,175,3309950
176,0.06154037630027631,176,3328864
177,0.06173311229654613,177,3347778
178,0.061500386705515664,178,3366692
179,0.06073859747943319,179,3385606
180,0.05952219033158915,180,3404520
181,0.05803582209921557,181,3423434
182,0.05699103381952084,182,3442348
183,0.05600777860139183,183,3461262
184,0.05521153728124603,184,3480176
185,0.054768157992208466,185,3499090
186,0.054579680430381666,186,3518004
187,0.054841202677344825,187,3536918
188,0.0552311948521409,188,3555832
