step,Subgame3/conv,Subgame3/iters
195,0.03799925327301026,195
196,0.03772821426391602,196
197,0.037509258985519406,197
198,0.03716487407684326,198
199,0.03687665820121765,199
200,0.03661728143692017,200
201,0.0363241708278656,201
202,0.03594794273376465,202
203,0.03559718132019043,203
204,0.03528005123138428,204
205,0.0349033522605896,205
206,0.03447969317436218,206
207,0.034085536003112794,207
208,0.03369637250900268,208
209,0.03330948829650879,209
210,0.03292004585266113,210
211,0.03249162435531616,211
212,0.032059826850891114,212
213,0.03166179656982422,213
214,0.03129824995994568,214
215,0.030939574241638183,215
216,0.030574963092803956,216
217,0.03021507740020752,217
218,0.029862152338027956,218
219,0.029533594846725464,219
220,0.029242008924484253,220
221,0.02899201512336731,221
222,0.028750990629196168,222
223,0.02850262999534607,223
224,0.02824662685394287,224
225,0.028006727695465087,225
226,0.02779419779777527,226
227,0.027594245672225952,227
228,0.027406827211380005,228
229,0.02723583221435547,229
230,0.027078313827514647,230
231,0.026913353204727174,231
232,0.026735837459564208,232
233,0.026559569835662843,233
234,0.026400330066680907,234
235,0.02626186728477478,235
236,0.02613467216491699,236
237,0.026003111600875855,237
238,0.025857656002044677,238
239,0.025696754455566406,239
240,0.02553577661514282,240
241,0.025386738777160644,241
242,0.025256619453430176,242
243,0.025134549140930176,243
244,0.025010069608688356,244
245,0.02487035036087036,245
