step,KuhnPoker/conv,KuhnPoker/iters,KuhnPoker/nodes_touched
162,0.0008428806266347066,162,18792
163,0.0009067190514774337,163,18908
164,0.0009240844833498241,164,19024
165,0.0009661597333090743,165,19140
166,0.0011966324992094268,166,19256
167,0.0012104628984724308,167,19372
168,0.0009588161507421977,168,19488
169,0.0010161914778288872,169,19604
170,0.0010347058923588781,170,19720
171,0.0008203915469946754,171,19836
172,0.0009226808848893375,172,19952
173,0.0011482057210182028,173,20068
174,0.0013021758179611598,174,20184
175,0.0011257860263242103,175,20300
176,0.0008263135358643758,176,20416
177,0.0008939218391796622,177,20532
178,0.0008418628772837167,178,20648
179,0.0008161186069750026,179,20764
180,0.0010737945975379248,180,20880
181,0.001114496042082358,181,20996
182,0.000900467022936724,182,21112
183,0.0009492570633489739,183,21228
184,0.0009521777984582425,184,21344
185,0.0009279343427890385,185,21460
186,0.0007795585705634989,186,21576
187,0.0008632064424428931,187,21692
188,0.0010593529405893976,188,21808
189,0.0010185790076370216,189,21924
