step,BattleShip2/conv,BattleShip2/iters,BattleShip2/nodes_touched
124,0.03692240016348408,124,2497112
125,0.03633537894502292,125,2517250
126,0.038277222511533204,126,2537388
127,0.03984191216643751,127,2557526
128,0.04054560292703635,128,2577664
129,0.040299901081677525,129,2597802
130,0.03926061452434437,130,2617940
131,0.038196395851851916,131,2638078
132,0.03834951740274556,132,2658216
133,0.0380544101168902,133,2678354
134,0.03731573383740516,134,2698492
135,0.03617426370682175,135,2718630
136,0.03567494400496202,136,2738768
137,0.0352131231588117,137,2758906
138,0.03475693977935751,138,2779044
139,0.03393885593817797,139,2799182
140,0.03361947710914537,140,2819320
141,0.03323272040522818,141,2839458
142,0.033745993932926266,142,2859596
143,0.03390818001405871,143,2879734
144,0.033486866083378475,144,2899872
145,0.03302956368543669,145,2920010
146,0.03235084378389902,146,2940148
147,0.031087202805725578,147,2960286
148,0.030792828926151095,148,2980424
149,0.031340401053750744,149,3000562
150,0.03139595329909051,150,3020700
151,0.03227655933571971,151,3040838
152,0.0327805846940567,152,3060976
153,0.03242011667522554,153,3081114
154,0.03133233934634688,154,3101252
155,0.02962738049214375,155,3121390
156,0.028315064025550007,156,3141528
157,0.028360950233073834,157,3161666
158,0.028417532810132262,158,3181804
159,0.02776364019763694,159,3201942
160,0.027042435245453245,160,3222080
161,0.02651454112280277,161,3242218
162,0.025453284320562264,162,3262356
163,0.02554118419815371,163,3282494
164,0.024984506609708634,164,3302632
165,0.02561732086998797,165,3322770
166,0.026308319424199644,166,3342908
167,0.027276459577401435,167,3363046
168,0.027853412308862957,168,3383184
169,0.028059628618133048,169,3403322
170,0.027996157696943913,170,3423460
171,0.028111159029626576,171,3443598
172,0.028552629319898326,172,3463736
173,0.028896657195050135,173,3483874
174,0.029050294272270516,174,3504012
175,0.029104007860495273,175,3524150
176,0.028943301497256047,176,3544288
177,0.028556777657849197,177,3564426
178,0.02798771453581861,178,3584564
179,0.027478907452663348,179,3604702
180,0.026890872866294768,180,3624840
181,0.026033354405641418,181,3644978
182,0.024868600246489903,182,3665116
183,0.024463650094313394,183,3685254
184,0.025701790260538204,184,3705392
185,0.027288895483028763,185,3725530
186,0.02853721119363195,186,3745668
187,0.029393855755090514,187,3765806
188,0.029724286633449393,188,3785944
