step,BattleShip2/conv,BattleShip2/iters,BattleShip2/nodes_touched
124,0.01818532668272793,124,2497112
125,0.018840936423897614,125,2517250
126,0.019391847386573235,126,2537388
127,0.021069501022212722,127,2557526
128,0.022451048954862163,128,2577664
129,0.0238259582066061,129,2597802
130,0.024339265343372662,130,2617940
131,0.023848721212388957,131,2638078
132,0.022382411882355624,132,2658216
133,0.020726713459455592,133,2678354
134,0.018274303237995282,134,2698492
135,0.01523737573584899,135,2718630
136,0.01548526931180677,136,2738768
137,0.015378583414092928,137,2758906
138,0.01586646890981641,138,2779044
139,0.015782641112826512,139,2799182
140,0.015318849288043723,140,2819320
141,0.01570925861974637,141,2839458
142,0.015586003815956262,142,2859596
143,0.016208976880581316,143,2879734
144,0.016937489123707183,144,2899872
145,0.017668131769976503,145,2920010
146,0.018154072969502333,146,2940148
147,0.018120485746648873,147,2960286
148,0.0176109819085985,148,2980424
149,0.01674942168283855,149,3000562
150,0.01596170806428243,150,3020700
151,0.014684186595883275,151,3040838
152,0.013991961812839793,152,3060976
153,0.013783698612821083,153,3081114
154,0.013654786418512088,154,3101252
155,0.013975946974008502,155,3121390
156,0.013731832019110601,156,3141528
157,0.014514106037951058,157,3161666
158,0.015118146792274412,158,3181804
159,0.015212574469478934,159,3201942
160,0.015263087239707651,160,3222080
161,0.015347153991395801,161,3242218
162,0.01567586239359875,162,3262356
163,0.01586726963144397,163,3282494
164,0.015660006822101724,164,3302632
165,0.015363344126975986,165,3322770
166,0.014922303415219829,166,3342908
167,0.014336589752400986,167,3363046
168,0.014073674028131533,168,3383184
169,0.01396264227690841,169,3403322
170,0.0137156656022136,170,3423460
171,0.013411611432719073,171,3443598
172,0.012957394348082296,172,3463736
173,0.013690777459091752,173,3483874
174,0.013771157054024874,174,3504012
175,0.013924896758929217,175,3524150
176,0.014062198889795485,176,3544288
177,0.01405673361437898,177,3564426
178,0.014051381567474208,178,3584564
179,0.014013427049528016,179,3604702
180,0.013783625171457203,180,3624840
181,0.012949916321049915,181,3644978
182,0.011958306957564058,182,3665116
183,0.011060038736196265,183,3685254
184,0.011159589001796033,184,3705392
185,0.011882114262359522,185,3725530
186,0.012062932956368289,186,3745668
187,0.012019809067338516,187,3765806
188,0.01167697721212102,188,3785944
