step,KuhnPoker/conv,KuhnPoker/iters,KuhnPoker/nodes_touched
161,0.000663889915329563,161,18676
162,0.0007121874013606699,162,18792
163,0.0008304189888569402,163,18908
164,0.00084446138161412,164,19024
165,0.0007479878832795939,165,19140
166,0.0006151890216817835,166,19256
167,0.0007008249507189368,167,19372
168,0.0007195796841925894,168,19488
169,0.0005602324445293239,169,19604
170,0.00029878666202520776,170,19720
171,0.00032585738612117554,171,19836
172,0.0005606899450413816,172,19952
173,0.0007273089703271618,173,20068
174,0.0007389260192958436,174,20184
175,0.0006580906021708965,175,20300
176,0.0006523836145203854,176,20416
177,0.0007408551774039929,177,20532
178,0.0007458420863911686,178,20648
179,0.0006659530937521418,179,20764
180,0.0005903222181499745,180,20880
181,0.0005531636077958368,181,20996
182,0.0006228455438361535,182,21112
183,0.0005372233727058695,183,21228
184,0.0003245684458162146,184,21344
185,0.00018501226381822944,185,21460
186,0.0003699858672752965,186,21576
187,0.0005408607736040183,187,21692
188,0.0006185430441163764,188,21808
189,0.0005847830832093337,189,21924
