step,GoofSpiel3/conv,GoofSpiel3/iters,GoofSpiel3/nodes_touched
115,2.2715914769887784e-06,115,15410
116,2.2135955242363414e-06,116,15544
117,2.1575571521478486e-06,117,15678
118,2.1033944579762823e-06,118,15812
119,2.0510296168676677e-06,119,15946
120,2.0003886469371196e-06,120,16080
121,1.9514011896856745e-06,121,16214
122,1.9040003046400492e-06,122,16348
123,1.8581222771872492e-06,123,16482
124,1.8137064386578578e-06,124,16616
125,1.7706949977866317e-06,125,16750
126,1.7290328827473646e-06,126,16884
127,1.688667593021461e-06,127,17018
128,1.6495490604168555e-06,128,17152
129,1.6116295186062635e-06,129,17286
130,1.5748633806017334e-06,130,17420
131,1.5392071236264784e-06,131,17554
132,1.5046191808853185e-06,132,17688
133,1.4710598397721627e-06,133,17822
134,1.4384911460869964e-06,134,17956
135,1.4068768138661783e-06,135,18090
136,1.3761821404586549e-06,136,18224
137,1.3463739265072182e-06,137,18358
138,1.3174204005183869e-06,138,18492
139,1.2892911477269807e-06,139,18626
140,1.2619570429822577e-06,140,18760
141,1.2353901874016329e-06,141,18894
142,1.2095638485556953e-06,142,19028
143,1.1844524039645997e-06,143,19162
144,1.1600312877010176e-06,144,19296
145,1.1362769399088063e-06,145,19430
146,1.1131667590595085e-06,146,19564
147,1.0906790567807524e-06,147,19698
148,1.0687930151017407e-06,148,19832
149,1.0474886459712848e-06,149,19966
150,1.0267467529133946e-06,150,20100
151,1.0065488946942802e-06,151,20234
152,9.86877350882833e-07,152,20368
153,9.677150891943005e-07,153,20502
154,9.49045734513947e-07,154,20636
155,9.308535395040953e-07,155,20770
156,9.131233567040741e-07,156,20904
157,8.95840612038307e-07,157,21038
158,8.789912796530856e-07,158,21172
159,8.625618580075323e-07,159,21306
160,8.465393471488563e-07,160,21440
161,8.309112271063191e-07,161,21574
162,8.156654373423296e-07,162,21708
163,8.007903572028354e-07,163,21842
164,7.862747873126707e-07,164,21976
165,7.721079318647847e-07,165,22110
166,7.582793817553223e-07,166,22244
167,7.4477909851938e-07,167,22378
168,7.315973990249278e-07,168,22512
169,7.187249408848744e-07,169,22646
170,7.061527085495935e-07,170,22780
171,6.938720000444086e-07,171,22914
172,6.818744143185844e-07,172,23048
173,6.70151839174282e-07,173,23182
