step,BattleShip3/conv,BattleShip3/iters,BattleShip3/nodes_touched
71,0.02346850841856453,71,104030194
72,0.023377841077116768,72,105495408
73,0.02313903554197251,73,106960622
74,0.022220225304834154,74,108425836
75,0.02273590261575091,75,109891050
76,0.022205797114981413,76,111356264
77,0.02140445429936018,77,112821478
78,0.02139134801553949,78,114286692
79,0.02185449197651672,79,115751906
80,0.022398033468608955,80,117217120
81,0.022214148898601502,81,118682334
82,0.021031661752240846,82,120147548
83,0.02011614800433209,83,121612762
84,0.0201315634089254,84,123077976
85,0.020083144282297266,85,124543190
86,0.01958039233984074,86,126008404
87,0.018124419277953593,87,127473618
88,0.018266506820850015,88,128938832
89,0.01765068778013032,89,130404046
90,0.018332990996504733,90,131869260
91,0.018940134323612398,91,133334474
92,0.019132032423937656,92,134799688
93,0.018173624811652675,93,136264902
94,0.016749651862752638,94,137730116
95,0.01721286133223769,95,139195330
96,0.017502923156141117,96,140660544
97,0.01770736198059629,97,142125758
98,0.018367345441085786,98,143590972
99,0.019247990962933975,99,145056186
100,0.018684286859035337,100,146521400
101,0.01796956758888829,101,147986614
102,0.016711120269710028,102,149451828
103,0.015326975044635621,103,150917042
104,0.014913164709221952,104,152382256
105,0.01576335750979503,105,153847470
106,0.015909427899833434,106,155312684
107,0.01573038439116116,107,156777898
108,0.015446528746025728,108,158243112
109,0.015432906678067182,109,159708326
110,0.014870501765388455,110,161173540
111,0.01484083425127114,111,162638754
112,0.01412492997717106,112,164103968
113,0.014194668725399678,113,165569182
114,0.014362142444672973,114,167034396
115,0.01449679768961884,115,168499610
116,0.015009345403700983,116,169964824
117,0.015845230809116248,117,171430038
118,0.016250446758444795,118,172895252
119,0.01580526436673295,119,174360466
120,0.015355721602315922,120,175825680
121,0.0138601900272156,121,177290894
122,0.013122698755648518,122,178756108
123,0.01273499111436828,123,180221322
124,0.012855760947035624,124,181686536
125,0.012473365760835256,125,183151750
126,0.012816951425340617,126,184616964
127,0.0126195184279419,127,186082178
128,0.01285453727561467,128,187547392
129,0.012551884034196603,129,189012606
130,0.012617405891479652,130,190477820
131,0.012328034040753638,131,191943034
132,0.011771282896569313,132,193408248
133,0.011499450180731535,133,194873462
134,0.011938007359859143,134,196338676
135,0.012670609717134615,135,197803890
136,0.012913897433379479,136,199269104
137,0.01300026822700695,137,200734318
138,0.012834005621259761,138,202199532
139,0.0124360755335816,139,203664746
140,0.012321417105754615,140,205129960
141,0.011929342767177234,141,206595174
142,0.011417231415304582,142,208060388
143,0.010804108481765703,143,209525602
144,0.01051255469042632,144,210990816
145,0.01064295483461479,145,212456030
146,0.011124135961708567,146,213921244
147,0.011493124627909856,147,215386458
148,0.011213130749165384,148,216851672
149,0.010933313985233256,149,218316886
150,0.011158535588961849,150,219782100
151,0.011241071930116323,151,221247314
152,0.01103895590815411,152,222712528
153,0.010491876973889466,153,224177742
154,0.010302002374398656,154,225642956
155,0.010623485592723539,155,227108170
156,0.010626993295557469,156,228573384
157,0.010340533521628864,157,230038598
158,0.010343423680157574,158,231503812
159,0.010157265043329589,159,232969026
160,0.009674164681300015,160,234434240
161,0.009907404093047897,161,235899454
162,0.010085535673790988,162,237364668
163,0.010261057139692886,163,238829882
164,0.010420519848677728,164,240295096
165,0.010409094969713567,165,241760310
166,0.010020453641752247,166,243225524
167,0.009445857886288433,167,244690738
168,0.00915791988964361,168,246155952
169,0.008942635373049568,169,247621166
170,0.009098689627177983,170,249086380
171,0.009301757083436307,171,250551594
172,0.009194199082043317,172,252016808
173,0.009565262691725585,173,253482022
174,0.00977162936063218,174,254947236
175,0.009872792748982631,175,256412450
176,0.009877539763244514,176,257877664
177,0.009918672563207664,177,259342878
178,0.009647857863983353,178,260808092
179,0.00905014666715065,179,262273306
180,0.008391779670968505,180,263738520
181,0.008034025238303752,181,265203734
182,0.008058555355402522,182,266668948
183,0.008252144763337188,183,268134162
184,0.00843435348304114,184,269599376
185,0.008523050848363786,185,271064590
