step,LiarsDice4/conv,LiarsDice4/iters,LiarsDice4/nodes_touched,LiarsDice4/tau,LiarsDice4/alpha,LiarsDice4/beta,LiarsDice4/gamma
109,0.0004094685454138561,109,1783458,1,1.0623171999135692,-1.1808282922772824,4.995127458204653
110,0.0006026542692590189,110,1799820,1,1.0297357745782247,-1.2030055834139906,4.995432886063471
111,0.0005678036145553012,111,1816182,1,1.0506237535486815,-1.1951750633643927,4.995189878213466
112,0.0005956311244307844,112,1832544,1,1.0509818515282288,-1.1989771148015897,4.995155086000373
113,0.0005376656534072585,113,1848906,1,1.0563142159595582,-1.1999955934693887,4.99506713899568
114,0.0004048793934878711,114,1865268,1,1.054688044963254,-1.2049394171416852,4.995052452088927
115,0.0007954590137411663,115,1881630,1,1.0446669319782016,-1.2147455524747761,4.9951258535831755
116,0.0003473301328518752,116,1897992,1,1.0791969419605216,-1.1992789066942555,4.994716552450846
117,0.0004377312558160873,117,1914354,1,1.0437847578332882,-1.2235070825417695,4.9950697046999535
118,0.0007575732149500553,118,1930716,1,1.0576263645892767,-1.219567376598887,4.994888390659815
119,0.000253396951478288,119,1947078,1,1.0863983252282283,-1.2073350616598932,4.9945295048277
120,0.000502465293681427,120,1963440,1,1.0385083960038297,-1.2392380401037186,4.995024056872733
121,0.0004767685571077651,121,1979802,1,1.0734734001102164,-1.222793304219136,4.994607106187285
122,0.0005298086240101627,122,1996164,1,1.0741651535755459,-1.2265247134508415,4.994562975357159
123,0.00045368567748628463,123,2012526,1,1.0822708307086046,-1.2259963791446933,4.9944322743465595
124,0.0003562598927588506,124,2028888,1,1.0781455114532625,-1.2325264768753925,4.994442965528614
125,0.0007101924118371114,125,2045250,1,1.069955081584523,-1.2415207929126297,4.9944997191488
126,0.00022243550396282633,126,2061612,1,1.1056306941287803,-1.2250657195414092,4.994034206401567
127,0.0003773266345669449,127,2077974,1,1.0542043040596685,-1.259600526585886,4.994601447081568
128,0.0006193661422805516,128,2094336,1,1.0821196097747696,-1.2470085379124445,4.994241412883672
129,0.000278528150721144,129,2110698,1,1.10874514917854,-1.2357157601387856,4.993873339012832
130,0.00045586337513913583,130,2127060,1,1.0741403877903333,-1.2603477071505425,4.994255344378974
131,0.0003494464731056343,131,2143422,1,1.1005937194963673,-1.2488405178833935,4.99389270350113
132,0.0005664859235720715,132,2159784,1,1.0911795124794441,-1.2586848404289097,4.993967445127879
133,0.00030991826717369914,133,2176146,1,1.1173356559813354,-1.2475384737132167,4.993591385410348
134,0.00029865317621640894,134,2192508,1,1.0918504807590659,-1.2669206709092016,4.993873237179122
135,0.0006206021546085599,135,2208870,1,1.093275369476283,-1.2704072886995652,4.9938116164084185
136,0.000143412889985102,136,2225232,1,1.1313674988535636,-1.2520829909911002,4.993266988497117
137,0.00040241902217255307,137,2241594,1,1.0649586469985404,-1.297168687530773,4.994067613050316
138,0.0003610130142952597,138,2257956,1,1.1170841097456239,-1.2690803826485328,4.993367001847677
139,0.0004516888916347439,139,2274318,1,1.11510520648127,-1.2746263991188829,4.993346077377538
140,0.0003192766621679041,140,2290680,1,1.1290720398976903,-1.2705981698707967,4.993108005826047
141,0.00026642013396321884,141,2307042,1,1.1156538507309062,-1.283082849547101,4.993242176197459
142,0.0005760683883970913,142,2323404,1,1.1101999183407125,-1.2908907447625109,4.9932660809208915
143,0.00012320002894868412,143,2339766,1,1.1505212197969839,-1.2708593298657318,4.992650384635115
144,0.00034077315593685625,144,2356128,1,1.0798400693164576,-1.3195666883109434,4.993560263541944
145,0.00035314020874768065,145,2372490,1,1.1316946366138005,-1.2909935356150413,4.992818001802291
146,0.00040879104423729995,146,2388852,1,1.1366571603772484,-1.292404730573402,4.992694232050482
147,0.0002936872853986222,147,2405214,1,1.146986248986718,-1.2905448637205998,4.992489507760087
148,0.000275220903773743,148,2421576,1,1.1342412286453427,-1.302874432701758,4.992620877760487
149,0.0005367539591448756,149,2437938,1,1.1343459987209616,-1.3073395894073252,4.992564255001101
150,0.0001401937551928044,150,2454300,1,1.1700151405418908,-1.2898805733042116,4.99196799285119
151,0.00032527091189590157,151,2470662,1,1.1082862257610802,-1.3334108484676048,4.992820360665966
152,0.00031346893965244343,152,2487024,1,1.1522164103797647,-1.309791955653864,4.992127543734669
153,0.0004345348688210987,153,2503386,1,1.153687667573591,-1.3134274720524979,4.992045825956952
154,0.00023460866374626008,154,2519748,1,1.1728862258010353,-1.306034455374998,4.991682973346479
155,0.0003029475372422277,155,2536110,1,1.1461187717504076,-1.3274394753985477,4.992040926847081
156,0.0004798792489924125,156,2552472,1,1.1618519891479184,-1.322052044257939,4.9917352256403635
157,0.00018135973900660837,157,2568834,1,1.1876423632176665,-1.3105058891008632,4.991249503839698
158,0.00032658139482068943,158,2585196,1,1.143371757998932,-1.3432862109215407,4.991896811004394
159,0.00026828869584924475,159,2601558,1,1.1753987251542934,-1.3273412736184498,4.991323299461967
160,0.00047760780360577015,160,2617920,1,1.1690556503901595,-1.3360307975461554,4.991361300553592
161,0.00016111683597877166,161,2634282,1,1.200684300815213,-1.320659649776086,4.990755345016628
162,0.00031663075753579975,162,2650644,1,1.150656334905992,-1.3575139254539066,4.99152324482632
163,0.0003637483481880935,163,2667006,1,1.1871051692520005,-1.3385047430760006,4.990853015513425
164,0.0003584252436963295,164,2683368,1,1.1972574777839813,-1.3367003923769434,4.990604181195878
165,0.0002607286557431421,165,2699730,1,1.1998577252618625,-1.3397148710924336,4.990485263789968
166,0.00022891721673668625,166,2716092,1,1.187478762901142,-1.3523924280509192,4.99063111078052
167,0.00045076959796925414,167,2732454,1,1.1843717265192213,-1.3591767914411061,4.990611597093254
168,0.0001922677793340169,168,2748816,1,1.22120896283754,-1.340145320944207,4.989864193996346
169,0.0003035320041227668,169,2765178,1,1.1823814099478522,-1.3700954943852979,4.990496279970812
170,0.0002380269125421136,170,2781540,1,1.2083126931476273,-1.3578655807062006,4.989951122758304
171,0.00045358507597870884,171,2797902,1,1.1995979226562525,-1.368353779387622,4.990033161391466
172,0.00015036772865790332,172,2814264,1,1.2349602485383913,-1.3501471284496689,4.989274360672036
173,0.0002923564655077475,173,2830626,1,1.1834814609911972,-1.3888652681887521,4.990164611579476
174,0.00026155589445563815,174,2846988,1,1.2198435236049483,-1.3694761337658372,4.989405935683109
175,0.0003945803918429108,175,2863350,1,1.2176571750617136,-1.3757421358673956,4.989363920318741
176,0.00015869070440886757,176,2879712,1,1.2415151904836688,-1.3649101838775608,4.988799275731915
177,0.0002665659285359251,177,2896074,1,1.19946124380234,-1.397740489745891,4.9895402693339985
178,0.00030633463546621276,178,2912436,1,1.22868591544778,-1.3829972644614021,4.988883857794379
179,0.00031495580711644877,179,2928798,1,1.239007269200113,-1.3810148407667036,4.988582041804136
180,0.00019993049594865808,180,2945160,1,1.2437761555756905,-1.382717667515284,4.988389910528738
181,0.00022544897231174463,181,2961522,1,1.2244035333037075,-1.4006104301357283,4.988697011272549
182,0.00035747278927354686,182,2977884,1,1.2337904508528625,-1.3992067819828917,4.988410870607601
183,0.00023217744627901382,183,2994246,1,1.2602983174505584,-1.3863765400279513,4.987744995375099
184,0.0002263503423711108,184,3010608,1,1.2420258142660725,-1.4035416110494852,4.988044481770689
185,0.00019392340033259903,185,3026970,1,1.2441351360423702,-1.4070799618153638,4.987900289956657
186,0.0003721601201748456,186,3043332,1,1.2397481564837922,-1.4150732931794614,4.987894186011877
187,0.00020723633926567758,187,3059694,1,1.2759588744856867,-1.3955333005086983,4.986980276715297
188,0.00023980561403532524,188,3076056,1,1.2498698642255484,-1.4181690090248529,4.987468936305675
189,0.00020165764572376704,189,3092418,1,1.2606289950902625,-1.4158157341668711,4.987122003095498
190,0.0003730384214410548,190,3108780,1,1.2552907875225063,-1.4245177913696105,4.987135563390421
191,0.00011863981235965201,191,3125142,1,1.2897774175426142,-1.4060060629266986,4.986212535606118
192,0.00023613565089911082,192,3141504,1,1.2352924235061051,-1.4487669413384254,4.987361036420025
193,0.00019376030107565861,193,3157866,1,1.2735017396335555,-1.42711886914796,4.986379993478881
194,0.00036535842023008996,194,3174228,1,1.266905457362499,-1.4367804750777102,4.986421712288029
195,0.0001436985909245847,195,3190590,1,1.3024810538937188,-1.417331999975919,4.98542670029933
196,0.00023455182693931514,196,3206952,1,1.2585820361988267,-1.4529364455330591,4.986384038885366
197,0.0001886474992282977,197,3223314,1,1.2868710223148143,-1.4381861095003372,4.985580829536457
198,0.00035548543934951077,198,3239676,1,1.2792386033183907,-1.4486651734344331,4.985647964639595
199,0.00011682763036999222,199,3256038,1,1.3149000956773582,-1.4289625472015883,4.984601459182484
200,0.00022587168470436514,200,3272400,1,1.2617194914717649,-1.4716067922990272,4.985825525922399
201,0.00018552685589302842,201,3288762,1,1.298718877163469,-1.450426518508201,4.984772723047257
202,0.0003464758172122412,202,3305124,1,1.2921357585063278,-1.460267163599522,4.984813111660904
203,0.0001243158448825145,203,3321486,1,1.3274547866442477,-1.4406119805129423,4.983722987312768
204,0.0002221453082134478,204,3337848,1,1.2785869767019695,-1.4805292364077027,4.98489432602116
205,0.00018979756632833689,205,3354210,1,1.311689781477999,-1.4619931063390121,4.983885613752026
206,0.00033622702613060607,206,3370572,1,1.3071036679584787,-1.4704944427658029,4.983870994551349
207,0.00013193680152256276,207,3386934,1,1.3398339922794242,-1.4524956518573624,4.982796767330308
208,0.00021190903472224215,208,3403296,1,1.2954031247548563,-1.4895554735078123,4.983902896239772
209,0.0001738048719089752,209,3419658,1,1.3231468422598534,-1.4747544645560682,4.982987768444105
210,0.0003214222081334428,210,3436020,1,1.3164529198621326,-1.4848739537908755,4.983029292454429
211,0.00013761579287227543,211,3452382,1,1.3514883178430557,-1.4650068467907786,4.981837135709835
212,0.00019617595890076417,212,3468744,1,1.311418113089918,-1.4991988925138087,4.982869981360171
213,0.0001916163353057332,213,3485106,1,1.3331081195781833,-1.4887201805121955,4.982081576686428
214,0.0002964586123308799,214,3501468,1,1.335389263327576,-1.4923763754152513,4.981853693658186
215,0.00019649920798948256,215,3517830,1,1.3613392990253128,-1.4789361688491107,4.980878405667796
216,0.00017060038093343055,216,3534192,1,1.3436773956531383,-1.4969895956953598,4.981273052900027
217,0.00014652519190400115,217,3550554,1,1.339904502686529,-1.5050754155759647,4.981224816050463
218,0.0002567380689653398,218,3566916,1,1.335575157900833,-1.5136093615520179,4.98119249700076
219,0.0002273339054073148,219,3583278,1,1.367986791555632,-1.4952861920055727,4.979974099126938
220,0.00012170912784251892,220,3599640,1,1.3652371399445173,-1.5025960803301086,4.979889774352354
221,0.00018481724861912907,221,3616002,1,1.3365391917039862,-1.5290618656769115,4.980650636375223
222,0.0001967978712324875,222,3632364,1,1.3616057735690619,-1.5159329941464597,4.979654056919868
223,0.00026929498050370926,223,3648726,1,1.3683782924535488,-1.5163209761188556,4.979241183068673
224,0.00010477829645125225,224,3665088,1,1.3881158461589067,-1.5072399352007324,4.9783578366537125
225,0.00019626228284761252,225,3681450,1,1.3428924496396646,-1.546027165776677,4.979732659113555
226,0.00016671838403291284,226,3697812,1,1.3788569425095338,-1.5247104787234582,4.978308364116486
227,0.00029205657922294626,227,3714174,1,1.3739682933556827,-1.5337045040447828,4.978290152879039
228,6.826415004449263e-05,228,3730536,1,1.406525747511498,-1.5151311412800839,4.976883357659326
229,0.0001899305758521347,229,3746898,1,1.3348886540171747,-1.5740297907904883,4.9792526942307855
230,0.00015583358348435217,230,3763260,1,1.3913796722592058,-1.5369917345682946,4.977054050896564
231,0.00028094885491371235,231,3779622,1,1.384696262119007,-1.547368145009135,4.977100742775445
232,0.00017038121262601819,232,3795984,1,1.4188049820492636,-1.5275171563696537,4.975560239736415
233,0.00016184741962337046,233,3812346,1,1.3964586706682738,-1.5494392454560664,4.976234313716148
234,0.00016174461164596143,234,3828708,1,1.3973706754256623,-1.554184918160832,4.975984889386395
235,0.00022789655925024854,235,3845070,1,1.4009175437919057,-1.5569652856090754,4.975628054859129
236,0.00021528323967062724,236,3861432,1,1.4222931051219525,-1.5464447027551962,4.97453272542567
237,9.809829887851007e-05,237,3877794,1,1.4229321909591701,-1.551373961956348,4.974278209771155
238,0.000162692897908618,238,3894156,1,1.3857212093863842,-1.5848799941932041,4.975566984409037
239,0.0001702659610397783,239,3910518,1,1.415583815777948,-1.5677389419740013,4.974126846478844
240,0.00026694532608016047,240,3926880,1,1.421549283706049,-1.568703876414204,4.973638963999777
241,9.801351238733491e-05,241,3943242,1,1.448558081244968,-1.5539601717181264,4.972202624232281
242,0.00018105426137349223,242,3959604,1,1.4000555271537278,-1.5960135711011598,4.974072517234103
243,0.00014687098740003013,243,3975966,1,1.435576427796713,-1.5745052022181425,4.972294710486659
244,0.0002544466191860967,244,3992328,1,1.4283117614357532,-1.585476581991238,4.972371641300697
245,0.0001416020485342645,245,4008690,1,1.4605721932381113,-1.5666585266008217,4.970623790530768
246,0.00013055606942065368,246,4025052,1,1.4336568222641817,-1.5924021475469505,4.971624362242259
247,0.0001372535860313627,247,4041414,1,1.4330572217186595,-1.5983700636464735,4.971393904888172
248,0.0001873821557504332,248,4057776,1,1.439294995997424,-1.5991156119458014,4.970842788880489
249,0.00023341349606472578,249,4074138,1,1.4591497715122,-1.5894847571526,4.969620306212839
250,7.229243391431925e-05,250,4090500,1,1.4742938149677796,-1.5835486862055737,4.968587981544706
251,0.00017584388202953466,251,4106862,1,1.4168022530389037,-1.6332029207996983,4.971084573099722
252,0.0001398256478386331,252,4123224,1,1.4667858049793696,-1.6001412113574642,4.968400822093951
253,0.00024857081976894374,253,4139586,1,1.4584910169745444,-1.6120147470698618,4.968536304867355
254,0.00010748219861921038,254,4155948,1,1.4922831203274873,-1.5918856598358464,4.96648373691688
255,0.0001362385460966578,255,4172310,1,1.452086630873701,-1.6280765817118124,4.968283332352716
256,0.00013017931241429692,256,4188672,1,1.468122167307782,-1.6212135012778948,4.96716504882388
257,0.00018184530659024617,257,4205034,1,1.4694181099082866,-1.6257652917641625,4.966796282949381
258,0.00021681668671116178,258,4221396,1,1.490567903072617,-1.6150373270301641,4.965342323534461
259,7.72912246047551e-05,259,4237758,1,1.5035157522817566,-1.6107477490394453,4.964299993947657
260,0.00016086444771588188,260,4254120,1,1.4532206500704932,-1.6552304507041493,4.966731379308337
261,0.00013963811730292874,261,4270482,1,1.4952066169110199,-1.6280521262222751,4.964120438285763
262,0.000234805888204008,262,4286844,1,1.4914916604216224,-1.6364684611091633,4.964005041724956
263,0.00012258619387892078,263,4303206,1,1.5225638104312624,-1.6183627339766442,4.961848864021367
264,0.0001222969832848364,264,4319568,1,1.492078613147482,-1.6471763474399457,4.963307393386292
265,0.00011842509428786063,265,4335930,1,1.4956562601974435,-1.6499772499274328,4.962759644733924
266,0.00015351905147568956,266,4352292,1,1.4976798219273033,-1.6539968767258568,4.9622964443807405
267,0.00021956124792446574,267,4368654,1,1.5149949902393955,-1.6461241772874131,4.9608959088695235
268,7.546365655947823e-05,268,4385016,1,1.5376410995707672,-1.6344517184341525,4.95911318681481
269,0.00015227173234194646,269,4401378,1,1.4852194380722161,-1.6807430520919329,4.96198732199892
270,0.00014462108369953097,270,4417740,1,1.5257449664849223,-1.6545301210023864,4.95912159584816
271,0.00021006244659550755,271,4434102,1,1.5267633258976623,-1.6593146839471655,4.958678338799404
272,0.00015746411356547946,272,4450464,1,1.550272660260322,-1.646936067309852,4.956744240312192
273,9.93797550230685e-05,273,4466826,1,1.5387360898960307,-1.6612288930918746,4.957117966589989
274,0.0001275576095481623,274,4483188,1,1.5182655538179501,-1.6828160910009804,4.95808052863117
275,0.00012644226759242483,275,4499550,1,1.5351179732662639,-1.6751982974322779,4.956564200449607
276,0.00022422684672641913,276,4515912,1,1.5384041050389978,-1.6782435993123626,4.955936431805282
277,8.151709388203726e-05,277,4532274,1,1.5725835413191123,-1.6576862599244357,4.953121064741799
278,0.00013055429123192547,278,4548636,1,1.5228160558238675,-1.7018486188237294,4.956186886171149
279,0.0001394640953341908,279,4564998,1,1.5513668075951308,-1.684968799102153,4.953776895623919
280,0.0001533003517990364,280,4581360,1,1.55863064750027,-1.6849332286622667,4.95282105573344
281,0.0001986717702120097,281,4597722,1,1.5674278360260363,-1.6837327072947532,4.951733535155471
282,8.962625868327856e-05,282,4614084,1,1.5850412401376317,-1.6758669687944612,4.94995544942007
283,0.00014434097655713352,283,4630446,1,1.5465651819634294,-1.7112915410780645,4.952380062454969
284,0.00012144969103723008,284,4646808,1,1.5755753226682085,-1.6941972498129592,4.949745158559843
285,0.00019647308879007508,285,4663170,1,1.570181267987174,-1.703977417807423,4.949690601099212
286,0.00015500164394426086,286,4679532,1,1.5996528477470733,-1.6869416629379455,4.946893064097621
287,8.758255666493908e-05,287,4695894,1,1.5907624215458762,-1.6992538282299396,4.947111021419342
288,0.00013407955940112487,288,4712256,1,1.564208688926816,-1.7256155374375948,4.948730876393675
289,0.00012196730824549917,289,4728618,1,1.5906242511074067,-1.710526034580802,4.946123558613051
290,0.00021071608836260858,290,4744980,1,1.5893770795726083,-1.7170978391424399,4.94571910341652
291,0.00013635058787579701,291,4761342,1,1.622518455040673,-1.6973327294905132,4.94240507454079
292,0.00010513823361354979,292,4777704,1,1.6029512882331187,-1.7177812313038032,4.943544736499238
293,0.00011640063882041932,293,4794066,1,1.5928809383490703,-1.7312366045248406,4.943871565490122
294,0.00012975091886172074,294,4810428,1,1.6021234030018867,-1.7296346302325016,4.942545053514526
295,0.000208149680315399,295,4826790,1,1.611754570231585,-1.7277622667683818,4.94115564062614
296,7.75372281630396e-05,296,4843152,1,1.6410521458298557,-1.7109894291901426,4.937945179003476
297,0.00012334915048247547,297,4859514,1,1.5919173057179257,-1.7546652124452833,4.941800535086291
298,0.00010910050639210273,298,4875876,1,1.6205281093523998,-1.7377714919476708,4.938666489224316
