step,KuhnPoker/conv,KuhnPoker/iters,KuhnPoker/nodes_touched
167,0.004195746984523158,167,19372
168,0.004278623506549228,168,19488
169,0.004314792944338841,169,19604
170,0.004299274786610852,170,19720
171,0.004615327581918072,171,19836
172,0.004867772538732801,172,19952
173,0.005043073234758194,173,20068
174,0.0051340260743587,174,20184
175,0.005137791875514386,175,20300
176,0.005055656663112362,176,20416
177,0.004892594192923677,177,20532
178,0.005006145318304178,178,20648
179,0.005145680553594184,179,20764
180,0.005251207219224424,180,20880
181,0.005318507681331852,181,20996
182,0.005342674189200314,182,21112
183,0.005318504410084052,183,21228
184,0.005241128003800805,184,21344
185,0.005106989465501227,185,21460
186,0.004915544545313788,186,21576
187,0.004685401405318729,187,21692
188,0.004436650540818432,188,21808
189,0.004573944356170506,189,21924
190,0.004654512444314973,190,22040
191,0.004673110073202397,191,22156
192,0.004633728020164124,192,22272
193,0.004543609299594548,193,22388
194,0.0044115506626004886,194,22504
195,0.004247114180531392,195,22620
196,0.004062341725138446,196,22736
